"","h1","h2","h3","inj12","inj3","fr","rep","sev"
"SLC2A10",1,0,0,0,1,1,0,1
"ZMAT3",0,0,1,0,1,0,0,1
"PIK3CA",0,0,0,0,0,0,0,1
"ZFP639",0,0,1,0,1,0,0,1
"MFN1",0,0,1,0,0,0,0,1
"GNB4",0,0,0,0,1,1,0,1
"OCSTAMP",0,0,1,0,0,0,0,1
"ACTL6A",0,0,0,0,0,0,0,1
"NDUFB5",1,0,0,0,1,0,1,1
"PEX5L",0,1,1,0,0,1,0,0
"CCDC39",1,0,1,0,1,1,1,0
"TTC14",0,0,1,0,1,1,1,0
"NCOA3",0,1,1,0,0,0,1,1
"DNAJC19",0,1,1,0,0,0,0,1
"FXR1",0,1,1,0,0,0,1,1
"MECOM",0,0,0,0,1,1,0,0
"SLC2A2",1,0,0,1,0,1,1,0
"TNIK",0,0,0,0,0,1,0,0
"PLD1",1,1,1,0,0,0,1,0
"NCEH1",0,1,1,0,0,0,0,0
"ECT2",0,0,1,0,1,0,1,0
"LRRC34",1,0,0,0,0,1,1,1
"LRRIQ4",1,0,1,0,1,0,1,0
"SEC62",0,0,0,0,0,0,0,1
"DCUN1D1",0,1,1,0,1,0,0,1
"MCCC1",1,1,1,0,0,0,0,0
"ACAD9",0,1,1,0,0,0,1,0
"ANXA5",0,0,0,0,1,1,0,1
"1810062G17RIK",0,0,0,0,1,1,1,0
"EXOSC9",0,0,0,0,1,1,1,0
"CCNA2",1,0,0,0,0,1,1,0
"TRPC3",0,0,0,0,0,1,0,0
"ADAD1",0,1,1,0,0,1,1,0
"IL2",0,0,0,1,1,1,0,1
"SPATA5",0,0,0,0,1,1,0,1
"SLC7A11",0,0,0,1,1,0,0,1
"RAB33B",0,0,0,1,1,1,0,1
"COG6",0,1,1,0,0,0,1,1
"STOML3",1,0,1,0,0,0,0,1
"UFM1",0,0,1,1,0,1,0,1
"TRPC4",0,1,1,0,1,0,1,0
"POSTN",1,0,0,0,1,1,1,0
"SUPT20",1,1,0,0,1,1,1,0
"EXOSC8",0,0,1,1,1,0,1,0
"AADAC",1,0,0,0,0,0,1,0
"SUCNR1",1,1,1,0,0,0,1,0
"MBNL1",0,0,0,0,1,1,1,0
"P2RY1",1,1,1,0,0,1,1,0
"DHX36",1,0,1,0,0,1,0,0
"GFM1",1,1,1,1,1,0,0,0
"MFSD1",1,0,0,1,0,1,0,0
"IFT80",1,0,1,0,0,1,1,0
"KPNA4",0,1,1,0,1,1,1,1
"PPM1L",0,1,1,0,0,0,0,0
"NMD3",0,0,0,0,1,1,0,0
"SIS",0,0,1,0,0,1,0,0
"BCHE",0,0,0,0,1,1,1,1
"CCNA1",0,0,0,0,0,0,1,0
"SOHLH2",1,0,0,0,1,1,1,0
"SMAD9",1,0,0,0,1,1,1,0
"DCLK1",0,0,0,0,1,1,1,1
"NBEA",0,0,0,0,1,1,1,0
"TM4SF1",0,0,0,0,0,1,0,1
"TM4SF4",0,0,0,0,0,0,0,1
"WWTR1",0,0,0,1,1,0,0,1
"PPID",0,1,1,0,0,0,0,1
"PFN2",1,0,0,1,1,0,0,0
"TSC22D2",0,0,0,1,1,0,0,1
"SERP1",0,0,0,0,1,0,0,1
"ETFDH",1,1,1,1,1,0,0,0
"EIF2A",1,1,1,0,1,0,0,1
"4930579G24RIK",0,0,0,0,1,0,1,1
"MME",0,0,1,0,0,1,0,0
"SLC33A1",0,1,1,0,0,0,1,0
"GMPS",0,1,1,0,0,0,0,1
"VMN2R1",0,1,1,0,0,0,0,0
"KCNAB1",0,1,1,0,0,0,0,1
"SSR3",1,0,0,0,1,1,0,1
"CCNL1",0,0,0,0,1,0,0,1
"VEPH1",1,1,1,0,0,0,1,0
"PTX3",1,1,1,0,0,1,1,0
"SHOX2",0,0,1,1,1,0,0,0
"SERPINI1",0,0,0,0,0,0,0,1
"PDCD10",0,0,1,1,1,1,0,1
"WNT2B",0,1,1,0,0,0,1,0
"PTPN22",0,0,0,0,0,1,1,0
"DCLRE1B",0,0,1,0,0,1,1,1
"OLFML3",1,0,1,0,0,0,1,0
"SYT6",0,0,0,0,1,0,1,1
"NRAS",0,0,0,1,1,1,0,1
"SIKE1",0,0,0,1,1,0,0,0
"SYCP1",0,1,1,0,0,1,1,0
"TSPAN2",0,0,1,1,1,1,0,0
"NGF",0,0,0,0,1,1,0,1
"VANGL1",0,0,1,0,1,0,1,0
"CASQ2",0,0,1,0,0,1,1,0
"CD2",0,1,0,0,0,1,1,0
"PTGFRN",0,0,0,0,1,1,0,0
"GDAP2",0,1,0,1,1,0,0,1
"SPAG17",0,1,1,0,0,0,1,0
"TBX15",0,0,1,1,0,1,1,0
"HSD3B6",1,1,1,0,0,0,0,0
"HAO2",0,1,1,0,0,0,0,0
"HSD3B1",0,0,1,0,1,0,0,1
"HMGCS2",0,1,0,0,1,0,1,0
"NOTCH2",0,0,1,0,1,0,0,1
"SEC22B",0,0,0,1,1,1,1,1
"SLC25A54",0,0,1,0,1,0,1,0
"PRPF38B",0,1,0,0,1,0,1,1
"STXBP3",1,1,1,1,0,1,0,0
"GPSM2",1,0,0,0,0,0,1,0
"CLCC1",1,1,1,0,0,0,1,0
"1700013F07RIK",0,0,0,0,1,0,0,1
"SYPL2",1,1,1,0,0,0,1,0
"AMPD2",0,0,1,0,1,0,0,0
"GSTM4",0,1,1,0,0,1,1,0
"AHCYL1",0,0,0,0,1,0,0,1
"SLC6A17",0,0,0,1,1,0,0,1
"SLC16A4",1,0,1,0,1,0,0,0
"DRAM2",1,1,1,1,0,1,0,0
"DENND2D",0,0,0,0,1,1,0,1
"CHIL6",0,1,1,0,0,0,0,0
"DDX20",0,0,1,0,1,0,1,0
"S100A11",0,0,0,0,1,1,0,1
"TCHHL1",1,0,1,1,0,0,1,1
"LELP1",0,1,1,0,1,0,1,0
"NPR1",1,1,0,0,1,1,0,0
"SLC27A3",0,1,1,0,1,0,1,0
"INTS3",0,1,1,0,1,1,0,0
"RAB13",1,1,1,0,0,1,1,0
"CRTC2",0,0,1,0,1,0,0,1
"JTB",0,1,1,0,1,0,0,1
"CREB3L4",0,0,0,0,1,0,1,0
"NUP210L",0,0,0,0,1,1,0,1
"TPM3",0,0,0,0,1,1,0,1
"4933434E20RIK",0,1,1,0,0,0,1,0
"HAX1",1,1,1,1,0,0,0,1
"IL6RA",0,0,0,1,1,0,0,1
"CHRNB2",0,1,1,0,0,0,0,1
"ADAR",0,0,0,1,1,1,1,0
"PMVK",0,0,1,0,0,1,1,0
"SLC50A1",0,0,1,1,1,1,0,0
"EFNA1",0,1,1,0,0,0,0,1
"FAM198B",1,1,0,0,0,0,1,0
"TMEM144",1,1,1,0,0,0,1,1
"SLC35A3",0,1,1,0,0,0,0,0
"SASS6",0,1,1,0,0,1,1,0
"LRRC39",0,0,1,1,1,0,1,0
"VCAM1",0,0,0,0,0,1,0,0
"EXTL2",1,0,0,0,0,1,1,0
"OLFM3",1,1,1,0,0,0,1,0
"COL11A1",0,0,0,0,1,1,1,1
"NEUROG2",0,0,1,0,0,0,0,1
"LARP7",0,0,0,0,1,0,1,1
"NDST4",0,1,1,0,1,1,0,0
"1700006A11RIK",0,0,0,0,0,0,1,1
"NDST3",0,0,0,0,1,1,0,1
"PRSS12",0,0,1,0,1,0,0,1
"RNPC3",1,1,1,1,1,0,0,0
"CYP2U1",1,1,0,0,0,0,1,1
"HADH",1,1,1,0,0,1,0,0
"LEF1",0,1,1,0,0,1,1,0
"TRIM2",0,0,1,0,0,1,0,0
"MCUB",0,0,0,0,1,1,1,1
"TLR2",0,0,0,1,1,1,1,0
"CASP6",0,1,1,0,1,1,0,1
"PLRG1",0,0,0,0,0,1,1,0
"PLA2G12A",1,1,0,0,1,0,0,1
"FGA",0,0,0,1,1,0,0,1
"LRAT",1,1,1,0,0,0,1,0
"GUCY1B1",1,0,0,0,0,0,1,0
"SNX7",0,1,1,0,0,1,1,0
"ASIC5",0,1,0,0,1,0,0,1
"1700061I17RIK",0,0,0,1,1,0,1,1
"GAR1",0,0,0,0,1,0,0,1
"TDO2",1,0,0,1,0,1,1,0
"RRH",1,1,1,0,0,0,0,0
"PPA2",1,1,1,0,0,1,1,0
"CTSO",1,0,1,0,0,1,1,0
"INTS12",0,1,1,0,1,0,1,1
"EGF",1,1,1,0,0,1,0,0
"GSTCD",0,0,1,0,1,1,1,0
"PDGFC",1,1,0,0,0,0,1,1
"GLRB",0,1,1,0,0,1,1,0
"PITX2",0,0,1,0,0,0,1,1
"ENPEP",1,1,0,0,0,0,1,0
"ALPK1",0,0,0,0,0,1,0,0
"AIMP1",1,1,1,1,1,1,0,0
"TBCK",1,1,1,0,0,0,1,0
"DKK2",0,1,1,0,0,1,0,0
"PAPSS1",0,1,1,0,0,0,0,1
"KCNQ5",0,0,0,0,0,1,0,1
"FUBP1",0,0,0,1,1,0,1,1
"DNAJB4",0,0,0,0,0,0,0,1
"PTGFR",0,1,0,1,1,0,0,0
"IFI44",1,1,0,0,0,1,1,0
"EFNA3",1,0,1,0,0,1,0,1
"EFNA4",1,0,1,0,1,1,0,1
"ADAM15",0,1,1,0,0,0,0,0
"ZBTB7B",0,1,1,0,1,0,0,1
"CKS1B",0,0,0,0,1,0,1,1
"THBS3",1,0,1,0,0,1,0,0
"GBA",1,0,0,0,1,0,0,1
"SCAMP3",0,0,1,1,1,0,0,1
"HCN3",0,0,1,0,1,1,0,0
"ASH1L",0,0,1,0,1,1,1,0
"RIT1",0,0,0,1,1,0,0,1
"ARHGEF2",1,0,0,1,1,1,1,0
"2810403A07RIK",0,0,0,1,1,0,1,1
"LAMTOR2",1,1,1,1,1,0,0,0
"LMNA",0,0,0,0,1,0,0,1
"SEMA4A",1,1,0,1,0,0,1,0
"PMF1",0,0,1,0,0,0,1,0
"IQGAP3",0,0,0,0,1,1,1,0
"GPATCH4",0,0,0,1,1,1,0,0
"NAXE",0,0,1,1,0,1,0,0
"SH2D2A",0,1,0,0,0,1,1,0
"PEAR1",0,0,0,1,1,1,0,0
"CD1D1",0,0,0,1,1,1,1,0
"DCLK2",0,0,1,0,1,0,0,1
"LRBA",0,0,1,0,1,1,0,0
"RPS3A1",1,0,0,1,1,1,0,0
"SH3D19",0,0,0,1,1,1,0,1
"GATB",0,1,1,0,0,0,0,1
"FBXW7",0,0,0,0,1,1,0,1
"FMO5",0,1,1,0,0,0,0,0
"CHD1L",0,1,1,1,1,1,1,0
"ACP6",0,1,1,0,0,0,0,1
"GPR89",1,1,1,0,0,0,0,0
"RNF115",0,0,0,0,1,1,1,1
"POLR3C",1,1,1,0,1,0,1,0
"NUDT17",0,0,0,1,1,0,1,1
"PIAS3",0,1,1,0,1,0,1,0
"PEX11B",0,1,1,0,0,0,0,0
"POLR3GL",1,1,1,1,0,0,1,0
"RPRD2",1,1,1,0,1,1,0,0
"TARS2",1,1,1,1,1,0,0,0
"ECM1",1,0,0,1,1,0,0,1
"HORMAD1",0,0,1,1,1,0,1,0
"CTSK",1,0,0,0,0,1,1,1
"METTL14",0,1,1,0,1,0,1,0
"BNIPL",0,0,0,1,1,0,1,0
"MYOZ2",0,0,1,0,1,1,1,0
"BCAR3",1,0,0,1,1,1,1,0
"GCLM",0,0,1,1,1,0,0,1
"ABCA4",0,1,1,0,0,0,0,0
"PIP5K1A",0,0,0,0,1,1,0,1
"ABCD3",0,1,1,0,0,0,1,0
"F3",0,0,0,1,1,1,0,1
"TMEM56",1,1,0,1,0,0,1,0
"RWDD3",1,1,1,0,0,0,1,0
"PTBP2",0,0,1,0,1,1,0,1
"SNX27",0,1,1,0,1,0,1,0
"CELF3",0,1,1,0,0,0,1,0
"ADH5",1,0,1,1,0,1,0,1
"RIIAD1",0,1,0,0,1,1,0,0
"MRPL9",0,0,1,0,1,0,0,1
"OAZ3",0,0,1,0,0,1,1,1
"THEM4",0,1,1,0,0,0,0,0
"RAP1GDS1",0,0,1,0,1,1,1,0
"RORC",1,1,1,0,0,0,1,0
"TSPAN5",0,0,1,1,1,0,0,1
"EIF4E",0,0,0,0,1,0,0,1
"MTTP",1,1,1,0,0,0,1,0
"DAPP1",0,0,0,0,1,1,0,0
"PPP3CA",0,0,0,0,1,0,0,1
"NFKB1",0,0,0,1,1,1,0,0
"MANBA",1,1,0,0,0,0,1,0
"CISD2",0,1,1,0,0,0,1,0
"BDH2",1,1,1,0,0,0,1,0
"TACR3",1,1,1,0,1,1,0,0
"WLS",0,1,1,0,0,1,1,0
"RPE65",0,1,1,1,0,0,1,0
"DEPDC1A",0,0,0,0,0,0,1,0
"LRRC7",0,1,1,0,0,1,1,1
"1810013D15RIK",0,0,1,1,0,0,1,0
"CTH",0,0,1,1,0,0,0,1
"ZRANB2",0,1,1,0,1,0,0,1
"LRRIQ3",1,1,1,0,0,0,1,0
"ADGRL2",0,1,0,0,1,1,1,0
"UOX",0,0,0,0,1,1,0,1
"RPF1",0,0,1,1,1,0,0,1
"SPATA1",0,1,1,0,0,0,0,0
"CTBS",0,1,1,0,0,0,0,0
"BCL10",0,0,0,1,0,0,0,1
"DDAH1",1,1,1,0,0,0,0,0
"CYR61",0,0,0,0,0,0,0,1
"COL24A1",0,1,0,0,0,0,1,0
"CRYZ",0,1,1,0,0,0,1,0
"ASPH",1,0,1,0,0,0,0,0
"TRP53INP1",0,0,1,1,1,0,0,1
"CCNE2",0,0,0,0,1,0,1,1
"GEM",0,0,0,0,0,1,0,0
"CDH17",0,0,0,0,1,1,1,1
"FAM92A",1,1,1,1,1,0,0,0
"TMEM55A",0,0,0,1,1,1,0,0
"CALB1",1,1,1,0,0,1,0,0
"DECR1",0,1,1,1,0,1,0,0
"NBN",0,0,1,1,1,0,1,0
"MMP16",1,0,0,0,0,1,1,0
"CPNE3",0,0,0,1,1,1,0,0
"RMDN1",0,1,1,0,0,0,1,1
"TMEM68",0,0,1,0,1,0,0,0
"TGS1",0,1,1,0,1,1,0,0
"RPS20",1,0,0,0,1,0,1,0
"SDR16C5",1,0,1,0,0,1,1,1
"ATP6V0D2",0,1,0,1,1,1,0,0
"UBXN2B",1,1,1,0,0,0,1,0
"1700025O08RIK",1,1,0,1,1,0,0,0
"NSMAF",1,1,0,1,0,0,0,0
"FAXC",0,0,0,0,1,1,1,0
"COQ3",1,1,1,1,0,0,1,0
"PNISR",0,1,1,0,0,0,1,0
"SDCBP",0,0,0,0,0,1,0,1
"TSTD3",0,1,1,0,0,1,1,0
"CCNC",0,1,1,1,1,1,0,0
"CLCA1",1,0,0,1,0,0,0,1
"ODF2L",1,1,1,0,1,0,1,0
"FHL5",0,1,1,0,0,0,1,1
"NDUFAF4",0,1,1,0,1,0,0,1
"CLCA3A2",0,0,0,0,1,1,0,1
"SPACA1",0,0,0,1,1,0,0,1
"LMO4",1,1,0,0,0,0,1,0
"GBP3",0,0,0,0,0,1,1,0
"GBP2",0,0,0,0,0,1,1,1
"GTF2B",0,1,1,0,0,0,0,1
"PDLIM5",0,0,0,0,1,1,0,1
"RNGTT",0,0,1,0,1,1,1,1
"UBE2J1",0,0,0,1,0,0,0,1
"RRAGD",0,0,0,0,0,1,0,0
"GABRR1",0,0,0,0,1,1,1,1
"CASP8AP2",0,0,1,0,1,1,1,0
"MAP3K7",0,1,1,1,1,0,0,0
"EPHA7",1,0,0,0,1,1,1,0
"AKIRIN2",0,0,1,0,0,0,1,1
"RARS2",1,1,1,0,0,0,1,0
"SLC35A1",1,1,0,1,1,1,0,0
"CFAP206",0,1,1,1,1,0,0,0
"SMIM8",1,1,1,0,0,1,0,0
"CGA",0,1,0,1,0,1,1,0
"3110043O21RIK",0,0,0,1,1,1,0,0
"ALDOB",1,0,1,0,0,0,0,1
"RNF20",0,1,1,1,0,0,0,1
"SMC2",0,0,0,0,1,1,1,0
"TOPORSL",1,1,0,0,0,0,1,0
"POLR1E",0,0,0,0,1,0,1,1
"EXOSC3",0,0,1,1,1,0,0,1
"STRA6L",0,0,1,1,1,0,1,0
"TMOD1",0,0,1,1,0,1,0,1
"XPA",1,1,1,1,0,0,0,0
"NCBP1",0,1,1,0,0,0,0,1
"TRMO",0,0,1,0,1,0,1,0
"HEMGN",1,0,0,0,1,1,0,1
"ANP32B",0,0,0,0,1,1,0,1
"NANS",0,0,0,0,1,0,0,1
"CORO2A",0,0,1,0,1,0,0,1
"COL15A1",1,0,1,0,1,1,0,0
"NR4A3",0,0,0,0,0,0,0,1
"ERP44",0,1,1,0,0,0,0,1
"INVS",1,1,1,0,0,0,1,0
"TEX10",0,0,0,0,1,1,1,0
"TMEFF1",0,0,0,0,1,1,1,1
"CAVIN4",0,0,1,0,0,1,0,1
"BRINP1",0,0,1,0,0,1,0,0
"FMN2",0,1,1,0,0,1,1,0
"AMBP",1,1,1,0,0,0,1,0
"KIF12",1,1,1,0,0,0,1,0
"ZFP618",1,0,0,0,1,1,1,0
"SLC44A5",0,0,1,0,1,0,1,1
"TNFSF8",0,1,0,1,1,1,1,0
"TNC",0,0,0,0,1,1,0,1
"TXN1",0,0,0,0,1,0,0,1
"SVEP1",1,0,1,1,1,1,0,0
"PAPPA",0,0,0,1,1,1,1,0
"ASTN2",0,0,0,1,1,0,0,0
"PTGR1",0,0,0,0,1,0,1,0
"UGCG",0,0,0,1,1,1,0,0
"PTBP3",0,1,0,0,0,1,0,1
"HSDL2",1,1,1,1,1,0,0,0
"SNX30",1,0,0,1,1,0,1,0
"SLC46A2",0,0,0,1,1,1,1,0
"ZFP37",0,0,0,0,0,1,1,0
"WDR31",1,1,1,0,0,1,1,0
"BSPRY",0,0,0,0,1,1,0,0
"ALAD",1,1,0,1,0,1,0,0
"POLE3",0,0,1,0,0,0,0,1
"KDM4C",0,1,1,0,1,1,1,0
"DMAC1",1,1,1,0,0,0,0,1
"PTPRD",1,1,0,0,0,0,1,0
"MPDZ",0,1,1,0,0,1,0,0
"ZDHHC21",0,0,1,1,1,1,0,0
"ACO1",0,1,1,0,0,0,1,0
"SMIM27",1,1,1,0,1,0,0,1
"SMU1",0,0,0,0,0,0,0,1
"DNAJA1",0,0,0,0,0,0,0,1
"APTX",0,0,1,0,0,1,0,0
"SLC44A1",0,0,0,0,1,1,0,1
"B4GALT1",0,1,0,0,1,0,1,1
"FKTN",0,1,1,0,0,1,0,0
"SPINK4",1,1,1,0,0,0,1,1
"BAG1",0,0,0,0,1,0,0,1
"TAL2",0,1,1,1,1,1,0,0
"CHMP5",1,0,0,1,0,1,0,0
"TMEM38B",0,0,1,0,0,0,0,1
"NFX1",0,0,0,1,1,0,1,0
"RAD23B",0,0,0,0,1,1,0,1
"AQP7",0,0,1,0,0,0,0,0
"NOL6",0,0,0,0,1,0,0,1
"IKBKAP",0,0,0,1,1,0,0,1
"UBAP2",0,0,1,0,1,1,1,0
"EPB41L4B",0,0,1,0,1,0,0,1
"AQP3",0,0,0,1,1,1,0,1
"DCAF12",0,0,1,1,1,0,1,0
"UBAP1",0,0,0,1,1,0,0,1
"KIF24",0,0,0,0,0,0,1,1
"FAM219A",0,0,0,1,1,1,0,1
"1110017D15RIK",0,0,0,1,1,0,1,1
"NUDT2",1,1,1,0,0,0,1,0
"CNTFR",1,0,0,0,0,0,1,0
"ENHO",1,0,0,1,1,0,0,0
"DCTN3",1,0,0,0,0,1,0,1
"1700022I11RIK",0,0,0,1,0,0,1,1
"VCP",0,0,0,0,1,0,0,1
"FANCG",0,0,1,0,0,1,1,0
"PIGO",0,1,1,1,1,0,0,0
"STOML2",1,1,0,1,1,0,0,0
"UNC13B",0,0,0,1,1,1,0,0
"ATP8B5",0,0,1,0,0,0,1,0
"TESK1",0,0,0,0,0,0,0,1
"CD72",0,0,0,0,0,1,1,1
"CCDC107",1,1,1,0,0,0,0,0
"CAR9",0,1,1,0,0,0,0,0
"TPM2",1,0,0,0,1,0,0,1
"TLN1",1,0,0,0,1,1,0,0
"CREB3",0,1,0,1,0,0,0,1
"GBA2",0,1,1,0,1,0,0,1
"RGP1",0,1,1,0,1,0,0,0
"NPR2",0,0,1,0,0,0,0,1
"HINT2",1,1,1,0,0,0,0,0
"SPAAR",0,0,0,0,1,1,1,0
"RECK",0,0,1,0,0,1,1,0
"CLTA",1,1,1,0,0,0,1,1
"GNE",0,1,1,1,0,0,1,0
"GLIPR2",0,0,0,0,1,1,0,1
"SNAPC3",0,0,1,0,1,1,1,0
"PSIP1",1,0,1,0,1,1,0,0
"BNC2",1,1,0,0,0,0,1,0
"SH3GL2",0,1,1,0,0,0,0,1
"SAXO1",0,0,1,0,0,0,1,0
"PLIN2",0,0,0,1,1,0,0,1
"RPS6",1,0,0,0,1,0,0,1
"MLLT3",0,0,1,0,1,1,0,0
"HACD4",1,1,1,0,0,1,1,0
"USP24",0,0,1,0,1,0,1,1
"PLPP3",0,0,0,1,1,1,1,0
"PRKAA2",1,1,1,0,0,0,1,0
"DAB1",1,1,0,1,1,1,1,0
"4921539E11RIK",0,1,1,0,1,0,0,0
"SLC35D1",1,1,1,1,1,0,0,0
"MIER1",0,1,0,0,1,0,1,1
"TCTEX1D1",0,1,1,0,0,1,1,0
"SGIP1",0,0,1,0,0,1,1,1
"PDE4B",0,0,0,0,1,1,0,1
"AK4",1,1,1,0,0,0,0,0
"DNAJC6",1,1,0,0,0,0,1,1
"JAK1",0,0,0,0,1,0,0,1
"CACHD1",0,0,0,1,1,0,0,1
"2610528J11RIK",1,1,1,1,0,0,0,0
"ST3GAL3",0,0,0,0,0,1,0,0
"ARTN",0,0,0,1,1,0,0,0
"DPH2",0,0,0,1,1,0,0,1
"SLC6A9",0,0,0,1,1,1,0,1
"SLC5A9",1,1,1,0,0,0,1,0
"ELAVL4",1,0,0,0,0,1,1,0
"ITGB3BP",0,0,1,0,1,1,1,0
"ATG4C",1,1,1,0,0,1,1,0
"CDKN2C",1,0,0,0,0,0,1,1
"EPS15",0,0,0,0,1,1,1,0
"ANGPTL3",0,0,0,0,0,1,0,1
"TTC39A",0,0,0,0,1,0,1,1
"DOCK7",0,0,0,0,1,1,1,0
"RNF11",0,0,0,0,1,0,0,1
"CALR4",1,1,0,1,0,1,0,0
"OSBPL9",1,1,1,0,0,0,1,0
"USP1",0,0,1,0,1,0,0,1
"TM2D1",0,0,1,0,0,1,1,0
"NFIA",0,1,1,0,0,0,1,0
"TXNDC12",0,1,1,0,1,0,0,1
"BTF3L4",1,0,0,1,1,1,0,0
"CYP2J13",1,1,0,0,0,1,1,0
"HOOK1",1,1,0,1,0,0,1,0
"FGGY",1,1,1,0,0,0,1,0
"EQTN",0,0,0,1,1,0,1,0
"IFT74",1,1,1,0,0,0,1,0
"PLAA",0,0,1,1,1,0,1,0
"CAAP1",0,1,1,0,0,1,1,0
"PUM1",0,0,1,0,0,1,1,1
"LAPTM5",1,1,0,0,1,1,1,0
"CC2D1B",1,1,0,0,1,0,1,0
"PDPN",0,0,0,0,1,1,0,0
"LRRC38",0,0,0,1,1,1,1,0
"ORC1",0,0,0,1,1,1,1,0
"1700012P22RIK",1,0,1,0,1,1,0,0
"PRAMEF12",0,0,0,1,1,1,1,0
"9430007A20RIK",0,0,1,0,1,0,1,1
"GPX7",1,0,0,0,0,1,1,0
"TNFRSF1B",0,0,0,1,1,1,0,0
"PODN",1,1,1,0,0,0,1,0
"ECHDC2",0,1,1,0,0,0,0,0
"TNFRSF8",0,1,1,0,0,0,0,0
"SCP2",1,1,1,0,0,0,1,0
"CPT2",1,1,1,1,1,0,0,0
"0610037L13RIK",1,0,1,0,1,1,0,0
"MAGOH",1,0,1,0,0,0,0,1
"DMRTB1",1,1,1,0,1,0,0,0
"LRP8",0,0,0,1,1,0,0,1
"NDC1",0,0,1,0,1,0,1,0
"LRRC42",0,0,1,0,1,1,0,1
"TMEM59",0,0,0,0,0,1,0,1
"TCEANC2",0,1,1,0,1,1,1,0
"CYB5RL",0,1,1,0,0,1,0,0
"MRPL37",1,1,0,1,1,0,0,0
"COL9A2",0,0,0,1,1,0,1,0
"EXO5",0,0,1,0,1,1,1,1
"DYRK2",1,1,1,0,0,0,0,1
"KCNQ4",0,0,0,0,1,1,0,1
"CTPS",0,0,1,0,1,1,0,0
"HIVEP3",1,0,0,1,1,1,0,0
"PPCS",1,1,1,1,0,0,0,1
"CCDC30",1,1,1,0,0,1,1,0
"YBX1",0,0,0,1,1,0,1,1
"TFAP2C",0,1,1,0,0,0,1,0
"P3H1",0,0,0,0,1,0,0,1
"SVBP",1,1,0,0,1,1,1,0
"ERMAP",0,0,1,1,0,0,1,0
"SLC2A1",0,0,0,1,1,0,0,1
"RRAGC",1,0,0,1,1,1,0,0
"MYCBP",1,0,0,1,0,1,0,0
"NDUFS5",1,1,1,0,0,0,1,0
"MACF1",0,0,1,0,1,0,0,1
"PPIE",0,0,1,0,1,0,0,1
"TRIT1",0,1,1,0,1,0,0,0
"MYCL",0,0,0,0,0,1,0,1
"MFSD2A",0,0,1,0,1,0,0,1
"CAP1",0,0,0,1,1,1,0,1
"PPT1",1,0,0,1,1,1,0,0
"EPHB2",0,0,0,0,1,1,0,0
"ELOA",0,0,1,0,1,0,0,1
"PITHD1",0,0,0,0,1,0,0,0
"LYPLA2",1,1,1,0,1,0,0,0
"GALE",0,0,0,1,1,0,0,1
"HMGCL",1,0,1,1,0,1,0,0
"FUCA1",1,1,1,0,0,0,1,0
"PNRC2",1,1,1,0,1,0,0,0
"SRSF10",0,0,0,0,1,1,1,0
"RNF220",1,1,1,0,1,0,0,0
"KIF2C",0,0,0,0,0,0,1,0
"PLK3",0,0,0,0,0,0,0,1
"PTCH2",0,0,0,0,0,1,0,1
"EIF2B3",0,1,1,1,1,1,0,0
"UROD",1,1,1,0,0,0,0,1
"MUTYH",0,0,0,0,0,1,1,0
"TOE1",1,1,1,0,0,0,1,0
"CCDC163",0,0,0,0,0,0,1,1
"MMACHC",0,0,0,0,0,0,0,1
"PRDX1",0,0,0,0,1,0,0,1
"AKR1A1",1,1,0,0,0,0,1,0
"NASP",0,0,0,0,0,1,1,1
"IPP",1,1,1,0,0,0,1,0
"TSPAN1",1,1,1,0,0,1,0,0
"POMGNT1",1,0,0,0,1,1,0,0
"LURAP1",1,0,0,0,0,1,1,0
"RAD54L",0,0,0,0,1,1,1,0
"LRRC41",0,0,1,1,1,1,0,0
"NSUN4",1,1,1,1,1,1,0,0
"DMBX1",1,0,1,0,1,0,1,0
"MKNK1",0,1,1,0,1,1,1,0
"MOB3C",0,1,1,0,0,0,0,1
"ATPAF1",1,1,1,1,0,0,1,0
"CYP4A31",0,1,1,0,0,0,1,0
"CYP4B1",1,1,0,0,0,0,1,0
"CYP4A14",0,1,0,1,0,0,1,0
"PDZK1IP1",1,0,0,0,0,0,1,1
"TAL1",0,0,0,1,0,0,0,1
"STIL",0,0,0,0,1,1,1,0
"CMPK1",0,0,0,0,1,1,0,1
"EBNA1BP2",1,0,0,1,1,1,0,1
"CFAP57",0,0,0,0,0,1,1,1
"PAX7",0,1,1,0,1,0,1,0
"MRTO4",0,0,1,1,1,0,0,1
"AKR7A5",1,1,1,0,0,0,0,1
"PQLC2",1,1,1,0,0,0,1,0
"CAPZB",0,0,0,0,1,1,1,0
"PLA2G2C",1,1,0,0,1,0,1,1
"VWA5B1",0,0,0,1,1,1,1,1
"CDA",0,1,0,1,1,0,0,1
"PINK1",1,0,1,1,0,0,0,1
"DDOST",1,0,1,1,1,1,0,0
"KIF17",0,0,0,0,1,1,1,1
"HP1BP3",0,0,1,0,1,0,1,0
"EIF4G3",0,1,1,0,0,0,1,0
"HSPG2",0,0,0,0,0,1,0,0
"ALPL",1,0,0,1,0,0,1,0
"PTPN12",0,0,0,1,1,1,0,1
"ZCCHC17",1,0,1,0,0,1,1,0
"FABP3",1,1,1,1,0,1,0,0
"TINAGL1",0,0,0,1,1,0,0,0
"GNAT3",1,0,0,0,1,0,1,0
"PEF1",0,1,1,1,1,0,0,0
