"","h1","h2","h3","inj12","inj3","fr","rep","sev"
"IL4",0,0,1,0,1,1,1,0
"PXMP4",0,1,1,0,0,0,1,0
"DLG3",0,1,1,0,0,0,1,0
"GNB1L",0,0,1,1,1,1,0,0
"DBH",1,1,1,0,1,1,0,0
"MMP11",1,0,0,0,0,1,0,1
"SMARCB1",0,0,1,0,1,1,1,0
"VPREB3",1,0,0,0,1,0,1,1
"HIP1R",0,0,1,0,1,1,0,0
"NSUN5",0,1,1,1,1,0,0,0
"TOP1MT",0,1,1,0,0,0,1,0
"HOXA10",1,1,1,1,0,0,0,1
"GM38393",1,1,1,0,0,0,1,0
"MMP14",0,0,0,0,1,1,0,1
"SLC7A7",1,0,0,0,0,0,1,0
"OXA1L",1,1,1,1,0,0,0,0
"HEATR6",0,0,1,1,1,0,1,0
"CCL3",1,0,0,0,1,1,0,0
"WFDC18",1,0,1,0,1,0,0,0
"ILF2",0,0,0,1,0,1,0,1
"CHTOP",0,1,0,0,1,1,1,0
"SNAPIN",1,1,1,0,0,0,0,0
"S100A3",0,0,0,1,1,0,0,1
"S100A5",1,1,0,0,1,1,1,0
"S100A6",1,0,0,0,1,0,1,0
"SCN4A",0,0,0,1,1,1,1,0
"ICAM2",1,0,1,0,1,0,1,1
"MAPK7",0,0,0,1,1,1,0,1
"EPN2",0,0,0,1,1,1,0,0
"B9D1",1,1,1,0,1,1,0,0
"SEC24B",1,1,1,0,1,1,0,0
"N4BP3",0,0,0,1,1,0,0,1
"RMND5B",0,1,1,1,1,0,0,1
"NHP2",0,0,1,1,0,1,0,1
"VPS9D1",1,1,1,0,0,0,0,0
"C1QL4",1,1,1,0,0,0,1,0
"MFSD10",0,1,1,0,1,1,0,0
"LUZP1",0,0,0,0,1,0,1,1
"SLC13A2",1,1,1,0,0,0,0,0
"KCTD10",0,0,0,0,1,0,0,1
"POLDIP2",1,0,0,1,1,0,0,1
"IFT20",0,0,1,0,0,0,0,1
"COL6A1",1,0,0,0,0,1,1,1
"PCBP3",0,0,1,0,1,0,1,1
"LGALS9",1,0,0,0,1,1,0,0
"ARAF",1,1,1,0,0,1,1,0
"CFP",1,1,0,0,0,1,1,0
"TIMP1",1,0,0,1,1,1,1,0
"UXT",0,1,0,1,1,0,0,1
"CNNM3",1,1,1,0,0,0,1,0
"LMAN2L",1,1,1,0,0,0,0,0
"MCM3AP",1,1,1,0,1,0,1,0
"PCNT",0,1,1,0,0,0,1,0
"FTCD",0,1,1,0,0,0,0,0
"MXD1",0,0,0,0,0,0,0,1
"GMCL1",1,1,0,1,1,1,0,0
"SNRNP27",1,0,1,1,0,1,0,0
"OAS1C",0,1,1,0,0,1,1,0
"OAS1H",0,0,1,0,1,1,0,0
"OCRL",1,1,1,0,0,1,0,0
"CALM1",0,0,0,0,1,0,0,1
"AGPAT3",0,1,1,0,0,0,1,0
"SLC26A3",0,1,0,1,0,0,1,1
"SEMA6B",0,1,1,0,0,0,1,0
"UHRF1",0,0,0,0,1,1,1,0
"DPP9",0,0,1,1,1,1,0,0
"RAMP2",0,1,1,0,1,0,1,0
"LSR",0,0,0,1,1,1,0,1
"GRAMD1A",1,0,1,1,0,1,1,0
"HPN",1,1,1,0,0,0,1,0
"GABRG1",0,0,1,0,0,0,1,1
"CKB",1,0,0,1,1,1,0,1
"SP1",0,0,0,0,1,1,1,0
"ITGB7",0,0,0,0,0,1,0,1
"MYG1",1,1,1,0,0,0,0,1
"RARG",0,0,1,0,1,1,0,0
"PFDN5",1,0,0,0,0,0,1,0
"EFNB2",0,0,0,0,0,1,0,0
"RRP15",0,0,0,1,1,0,0,1
"RND2",0,0,0,0,1,1,0,1
"SRR",1,1,1,0,0,0,1,0
"SYNC",0,1,1,0,0,0,0,1
"FNDC5",0,1,0,0,0,0,1,1
"ACP5",1,1,1,0,0,0,1,0
"CNN1",0,0,0,1,1,1,1,0
"FBXO9",1,1,1,1,1,0,0,0
"VPS50",1,1,1,0,1,1,0,0
"HARS",0,1,1,1,1,0,0,1
"ZMAT2",0,0,0,0,1,1,1,0
"UBE2C",0,0,0,0,1,0,1,0
"SMG5",0,0,0,1,1,0,1,0
"CCT3",0,0,0,0,1,1,0,1
"GLMP",1,0,0,0,0,1,0,1
"MEF2D",0,0,1,0,1,0,0,1
"TMEM79",1,1,1,0,0,0,0,0
"SND1",0,0,1,0,1,1,0,0
"COL18A1",0,0,0,1,1,1,0,0
"SLC19A1",1,0,0,1,1,0,0,1
"KPNB1",0,0,1,1,1,1,0,1
"NPEPPS",0,0,0,0,1,1,0,1
"TBX21",1,1,1,0,0,1,1,0
"MRPL10",1,1,1,1,1,0,0,0
"CYP51",0,0,1,0,0,0,0,1
"TUBB6",0,0,0,1,1,0,0,1
"MEOX1",0,0,1,0,1,0,0,1
"SOST",1,1,0,0,0,1,0,0
"PAX9",1,1,1,0,0,0,1,0
"IRX2",0,0,1,0,0,0,0,1
"COL1A1",1,0,0,0,0,1,1,0
"ITGA3",0,0,0,0,1,1,0,0
"SGCA",0,0,0,1,1,1,1,0
"FOXM1",0,0,1,0,1,0,1,1
"ITFG2",0,1,1,0,1,0,0,0
"NRIP2",0,1,0,0,0,1,1,0
"TULP3",1,1,1,0,0,0,1,0
"GTF2H4",1,1,1,0,0,0,1,0
"TUBB5",0,0,0,1,1,1,1,1
"ELL2",0,0,0,1,1,0,0,1
"JUP",0,0,0,0,1,1,0,1
"FKBP10",1,0,0,0,1,1,1,1
"KLHL10",0,0,0,1,1,1,1,1
"NOM1",0,0,1,1,1,0,0,1
"ERGIC1",0,0,1,0,1,1,1,0
"TNK1",0,0,1,0,1,1,0,1
"ACAP1",1,1,1,0,0,0,1,0
"TCEA3",1,1,1,0,0,0,1,0
"CSN3",0,0,0,1,1,1,0,0
"IFRD1",0,0,0,0,0,0,0,1
"STK38L",0,1,1,0,1,0,0,0
"BRPF1",0,0,1,0,1,0,0,1
"AKR1B3",0,0,0,0,1,1,0,1
"HOXC11",1,1,0,0,1,1,1,0
"GSTT1",1,0,0,0,0,1,1,0
"DDT",1,1,0,1,0,0,0,1
"MARVELD3",0,0,1,0,1,1,1,0
"DDX18",0,0,0,1,1,1,0,1
"UBL3",0,0,0,0,0,1,0,1
"GRAMD3",1,1,0,1,1,0,1,0
"EEF1E1",1,1,1,1,1,0,0,0
"AKT1",0,0,0,1,1,1,0,0
"CLDN15",0,1,1,0,1,0,1,0
"IL16",0,1,1,1,1,0,0,0
"TCIRG1",0,0,0,0,0,0,0,1
"NAGLU",0,1,1,0,1,0,1,1
"COASY",1,0,1,1,1,0,0,0
"SMO",1,1,1,0,0,1,1,0
"TSPAN33",1,0,1,0,0,1,0,0
"CRNKL1",0,1,1,0,1,0,1,1
"RIN2",0,1,1,0,0,1,1,0
"FOLH1",1,0,0,1,0,0,1,0
"CHORDC1",0,1,0,0,0,0,0,1
"RTCB",1,0,0,1,1,1,0,1
"PWP1",0,0,0,1,1,0,1,1
"FBXO7",1,0,0,1,1,0,0,1
"CAPNS1",0,0,0,1,1,0,0,1
"LRP3",1,0,0,0,1,0,1,1
"DSG4",0,0,1,0,0,0,1,1
"FOLR1",1,1,1,0,0,0,1,0
"CLPB",0,0,1,0,1,1,0,0
"SEPT7",0,0,0,0,1,0,0,1
"ZDHHC4",1,1,1,0,1,0,0,0
"RAC1",0,0,0,1,1,1,0,1
"NUP214",0,1,1,0,1,1,0,0
"AIF1L",1,0,0,1,0,1,1,0
"CPA3",1,0,1,0,0,0,0,1
"LTBP1",0,0,0,0,1,1,0,0
"UGP2",0,1,0,0,0,0,1,1
"KCNH6",1,0,1,1,0,0,0,1
"TRMT1",1,1,1,0,1,1,0,0
"NACC1",0,1,1,0,1,0,0,0
"NFIX",0,0,1,0,1,1,0,0
"SLC1A5",0,0,0,0,1,1,0,0
"UBA1",1,0,0,1,1,1,0,1
"VWF",0,0,0,0,1,1,1,0
"SIAE",1,1,1,0,0,1,1,0
"VSIG2",0,0,0,0,1,0,0,1
"ESAM",1,1,0,0,1,0,0,1
"SPA17",0,1,1,0,0,1,1,0
"FAM50A",0,1,1,1,1,0,0,0
"EMD",0,0,0,1,1,0,0,1
"TACO1",0,1,1,0,0,0,1,1
"GRIK3",0,0,0,0,0,0,0,1
"GRIA3",1,1,0,0,0,1,1,0
"NPAS1",0,0,0,0,1,1,1,1
"SIPA1L2",0,0,0,0,1,0,1,1
"AP4E1",0,1,1,1,1,1,1,0
"BLVRA",0,1,0,1,1,1,1,0
"PDZD4",0,0,1,0,0,1,0,0
"SRPK3",0,1,0,0,1,0,0,1
"IDH3G",0,0,1,1,0,0,1,1
"PNCK",0,0,0,0,0,1,1,0
"SSR4",0,0,0,0,1,0,0,1
"BCAP31",0,0,1,0,1,1,1,0
"FAM98A",0,1,1,1,1,0,0,0
"LTBP2",0,0,1,0,0,1,0,0
"KMT2A",0,0,0,0,1,1,1,0
"IFT46",0,1,1,0,0,1,0,0
"TMEM25",1,1,1,0,0,0,0,0
"CD3G",1,1,1,0,0,0,0,0
"TRAPPC6A",1,0,0,0,0,1,1,0
"SUPT6",0,0,1,0,0,0,0,1
"SPAG5",0,0,0,0,1,0,1,0
"FOXN1",0,0,0,0,0,1,1,0
"UNC119",0,0,1,0,0,1,1,0
"RAB34",1,1,0,0,0,1,0,1
"SDF2",0,0,1,1,0,1,0,1
"CCNE1",0,0,0,0,1,1,1,0
"HSF2BP",0,1,1,0,1,0,0,0
"BBC3",0,0,0,1,0,1,0,1
"MYBPC3",1,0,0,0,1,1,0,0
"PSMC3",0,0,1,0,1,0,1,1
"ACP2",1,1,1,0,0,0,1,0
"RAPSN",1,0,0,0,0,1,1,0
"SLC39A13",0,1,0,1,1,0,0,0
"CELF2",0,0,1,1,1,1,0,1
"NR1H3",0,1,1,0,0,0,0,0
"DDB2",0,1,1,0,0,1,1,0
"SPI1",0,1,1,0,0,1,1,0
"SF3A1",0,1,1,0,1,0,0,1
"STAT6",0,0,1,0,1,1,0,0
"CLGN",1,0,1,0,1,0,1,0
"NAPSA",0,0,1,0,0,0,0,1
"VRK3",1,1,1,1,1,0,0,0
"SMG9",0,0,1,1,1,0,0,0
"PAXIP1",0,1,1,0,1,0,1,0
"RMND5A",0,0,0,1,0,1,0,1
"MOV10",1,1,0,0,0,0,1,0
"PPM1J",0,0,0,0,1,1,0,1
"RHOC",1,0,0,0,0,1,0,1
"PRR27",0,1,1,1,0,0,1,0
"TEAD3",1,1,1,0,0,1,0,0
"PPARD",0,1,1,1,1,0,0,0
"DEF6",0,0,0,0,1,1,1,0
"PEG3",0,0,1,0,1,0,0,1
"ZIM1",1,1,1,0,0,0,1,0
"METRN",1,0,1,0,0,1,1,0
"LMF1",1,1,1,1,1,1,0,0
"NARFL",1,1,1,0,0,0,0,0
"ANGPTL4",0,1,0,0,0,0,0,1
"DBF4",0,0,0,0,1,0,1,0
"DAXX",0,0,1,0,0,0,1,1
"CD320",1,1,0,1,0,0,0,0
"IPO4",0,0,1,1,1,0,0,1
"TM9SF1",0,0,1,0,1,0,1,0
"REC8",0,0,1,0,0,1,0,0
"IRF9",1,0,0,0,1,1,1,0
"GMPR2",0,1,1,0,1,0,1,0
"MDP1",1,1,1,1,1,0,0,0
"DHRS1",1,1,0,1,0,1,0,0
"NCAN",0,1,1,0,0,0,0,1
"TMEM161A",1,1,1,0,0,1,1,0
"ARMC6",0,0,0,0,1,0,0,1
"BORCS8",1,1,1,1,1,0,0,0
"SLC25A42",1,1,1,0,0,0,1,0
"SNX9",0,0,1,1,1,1,0,0
"RANBP3",0,1,1,0,1,0,0,0
"NDUFA11",1,0,1,0,1,1,0,0
"BMP8B",0,0,0,0,1,1,1,0
"NR2F6",1,1,1,0,0,0,0,1
"USE1",0,0,1,0,1,0,0,1
"OCEL1",0,1,1,0,1,0,0,1
"DYRK1B",0,0,1,0,0,0,1,1
"BRAF",0,1,1,0,0,0,0,0
"NDUFB2",0,1,1,0,0,1,1,0
"HLTF",0,1,1,0,0,0,1,0
"PRPF6",0,1,1,0,0,0,1,0
"RGS19",0,0,0,0,1,1,0,1
"RGS20",0,0,0,0,1,1,0,0
"ABHD3",1,1,0,0,0,0,1,1
"SNRPD1",0,0,0,1,1,1,0,1
"TCHP",0,1,1,0,0,1,1,0
"TIAM1",0,0,0,0,1,1,1,0
"TSC2",1,1,1,0,0,0,0,0
"RPL3L",0,1,0,1,1,0,0,1
"SLC9A3R2",0,1,1,0,1,0,0,1
"PUF60",0,0,0,0,1,0,0,1
"GOLGA2",0,1,1,0,1,0,0,1
"UCK1",1,1,0,1,0,0,0,1
"SCIN",0,0,0,0,1,1,0,0
"IKZF4",1,0,0,1,0,1,1,0
"MIEN1",0,1,1,0,0,0,0,1
"PON1",1,1,1,0,0,1,1,0
"AXL",0,0,0,0,1,1,0,0
"TGFB1",0,0,0,0,1,1,1,1
"CCDC97",1,1,1,0,1,0,0,0
"ZFP40",1,1,1,0,1,1,1,0
"AKAP8L",0,1,1,0,0,0,1,0
"SHH",1,0,0,1,0,1,0,0
"PDCD2L",1,1,1,1,0,1,0,0
"GTF2F1",0,0,1,0,1,0,0,1
"CLPP",0,0,0,1,1,0,1,0
"ALKBH7",1,1,1,0,0,0,0,0
"DENND1C",0,0,0,0,1,1,0,1
"MED6",1,0,1,0,1,1,1,0
"PRKD1",0,0,0,0,1,1,0,1
"LCP2",0,1,0,0,1,1,1,0
"CSE1L",0,0,1,1,1,0,0,1
"NAA20",0,1,1,1,1,0,1,0
"PRKRA",1,0,1,0,1,0,1,0
"FKBP7",0,0,1,0,0,0,1,1
"PLEKHA3",1,0,1,0,1,1,0,0
"YKT6",0,0,0,0,1,0,0,1
"BAZ1B",0,0,1,1,0,0,1,0
"GNMT",0,1,1,1,0,0,0,1
"GRIN2D",0,1,1,0,1,1,1,0
"KDELR1",1,0,0,1,0,1,0,0
"TMEM143",1,1,1,0,0,0,1,0
"GGCT",0,1,1,0,0,0,0,1
"JAG2",0,0,0,0,1,0,1,1
"BTBD6",0,1,1,0,1,0,0,0
"NUDT14",1,1,1,0,0,0,1,0
"EPDR1",0,1,0,0,1,1,1,0
"FLII",0,0,1,1,1,0,0,1
"TOP3A",0,0,0,0,1,1,1,1
"ATG4D",1,1,1,1,0,0,0,0
"QTRT1",0,0,0,1,1,1,0,1
"PLIN4",1,0,1,0,1,0,1,0
"HDGFL2",0,0,1,0,1,0,1,0
"CHAF1A",0,0,0,0,1,1,1,0
"ADPRH",1,0,1,0,1,0,1,0
"TMEM39A",0,1,1,0,1,0,0,1
"TIMMDC1",0,0,1,0,1,1,1,0
"PLA1A",1,1,1,1,0,1,0,0
"MCM2",0,0,0,0,1,1,1,0
"TPRA1",1,1,1,0,1,0,0,0
"NAB1",0,1,1,1,0,1,0,0
"ADGRE5",0,0,1,0,1,0,0,1
"IL17RA",1,1,1,0,0,0,1,0
"LAMB1",0,0,1,0,0,1,0,0
"KCNN1",0,0,0,0,0,1,0,0
"ARRDC2",1,1,1,0,0,0,0,1
"CD36",0,1,1,0,0,0,0,0
"MAP2K7",0,1,1,1,1,0,0,1
"TIMM44",1,0,0,1,1,1,0,1
"AP2A2",1,1,0,1,0,1,1,0
"PNKP",0,1,1,0,0,0,0,0
"MED25",0,0,0,1,1,0,0,1
"BCAM",0,0,0,0,1,1,1,0
"CLPTM1",1,1,1,0,1,1,0,0
"RELB",0,0,0,0,1,1,0,0
"TOMM40",0,1,1,0,1,0,1,0
"APOE",1,0,0,0,1,1,0,0
"APOC2",0,0,0,0,1,0,1,1
"HBP1",0,0,0,0,0,0,0,1
"PRKAR2B",0,0,1,0,1,0,0,0
"CDKN1B",0,0,0,0,1,0,1,0
"KLF4",0,0,0,0,0,0,0,1
"AP1M1",1,1,1,1,0,1,0,0
"RAB8A",1,1,1,0,1,0,0,0
"HMGN2",0,1,0,0,1,0,0,1
"FAM32A",1,1,0,1,0,0,0,1
"ELF3",0,0,1,0,0,0,0,1
"CYP2C29",0,1,1,0,1,0,1,0
"STARD3NL",0,1,1,1,1,0,0,0
"STK11",1,1,1,0,0,1,0,0
"EFNA2",0,0,0,0,1,0,0,1
"ATP5D",1,0,1,0,0,1,0,1
"PPP5C",1,0,0,0,1,0,1,0
"CDK12",0,0,1,0,1,0,1,1
"LIPE",1,1,0,0,0,0,1,0
"PAFAH1B2",0,0,1,1,1,1,0,1
"TBC1D8",0,0,0,1,1,0,1,0
"CNOT11",0,1,1,0,0,0,0,1
"SLC2A3",1,1,1,0,0,0,0,0
"FOXJ2",0,1,0,0,0,1,1,0
"SRI",0,0,0,0,1,1,1,1
"DGCR2",0,1,0,1,1,0,1,1
"IRF3",0,1,1,0,1,0,1,0
"BCL2L12",0,1,1,0,1,1,1,0
"ZFP959",0,0,0,0,0,0,1,1
"MPND",0,0,1,0,0,1,0,0
"SH3GL1",1,1,1,0,1,1,0,1
"EBI3",0,1,1,0,0,1,1,0
"CCDC94",1,1,1,0,0,0,1,0
"RANBP2",0,0,0,0,1,0,0,1
"EDAR",0,0,0,0,0,1,0,1
"GRK5",0,0,0,0,1,1,0,0
"DVL3",1,1,1,1,1,0,0,0
"ABCF3",1,1,1,1,0,0,0,0
"EIF2B5",0,1,1,1,1,0,0,0
"CYTH2",1,0,1,0,0,1,0,1
"SULT2B1",0,0,1,0,1,1,0,0
"CAR11",1,1,1,0,0,1,0,0
"DLGAP1",0,0,1,0,0,1,1,0
